cluster_id,C_albicans,C_glabrata,K_lactis,S_cerevisiae,unknown,species_count
Cluster1335,1,1,1,1,0,4
Cluster1336,1,1,0,1,0,3
Cluster1337,1,1,1,1,0,4
Cluster1338,1,1,1,1,0,4
Cluster1339,1,1,1,1,0,4
Cluster134,1,0,0,0,0,1
Cluster1340,1,1,1,1,0,4
Cluster1341,1,0,0,0,0,1
Cluster1342,0,1,0,1,0,2
Cluster1343,1,0,0,0,0,1
Cluster1344,1,1,1,1,0,4
Cluster1345,1,1,1,1,0,4
Cluster1346,1,2,1,2,0,4
Cluster1347,1,1,1,1,0,4
Cluster1348,1,1,1,1,0,4
Cluster1349,1,1,1,1,0,4
Cluster135,1,0,0,0,0,1
Cluster1350,1,1,1,1,0,4
Cluster1351,0,1,0,0,0,1
Cluster1352,0,1,0,0,0,1
Cluster1353,1,1,1,1,0,4
Cluster1354,1,1,1,1,0,4
Cluster1355,0,1,0,0,0,1
Cluster1356,0,1,0,0,0,1
Cluster1357,1,0,0,0,0,1
Cluster1358,1,0,0,0,0,1
Cluster1359,1,1,1,1,0,4
Cluster136,1,0,0,0,0,1
Cluster1360,1,1,1,1,0,4
Cluster1361,1,1,1,1,0,4
Cluster1362,1,0,0,0,0,1
Cluster1363,0,1,0,1,0,2
Cluster1364,1,0,0,0,0,1
Cluster1365,0,0,1,1,0,2
Cluster1366,1,0,0,0,0,1
Cluster1367,1,1,1,1,0,4
Cluster1368,1,1,1,1,0,4
Cluster1369,1,1,1,1,0,4
Cluster137,1,2,1,2,0,4
Cluster1370,1,1,1,1,0,4
Cluster1371,1,0,0,0,0,1
Cluster1372,1,1,1,1,0,4
Cluster1373,1,1,1,1,0,4
Cluster1374,0,1,0,1,0,2
Cluster1375,0,1,0,1,0,2
Cluster1376,1,0,0,0,0,1
Cluster1377,1,0,0,0,0,1
Cluster1378,1,1,1,1,0,4
Cluster1379,1,1,1,1,0,4
Cluster138,1,1,1,1,0,4
Cluster1380,0,1,0,0,0,1
Cluster1381,0,0,1,0,0,1
Cluster1382,1,0,0,0,0,1
Cluster1383,0,1,1,1,0,3
Cluster1384,0,1,1,1,0,3
Cluster1385,0,1,1,1,0,3
Cluster1386,1,1,1,1,0,4
Cluster1387,1,1,1,1,0,4
Cluster1388,1,0,1,0,0,2
Cluster1389,1,0,0,1,0,2
Cluster139,0,1,1,1,0,3
Cluster1390,1,0,0,0,0,1
Cluster1391,0,0,0,1,0,1
Cluster1392,1,0,0,0,0,1
Cluster1393,0,0,0,1,0,1
Cluster1394,0,0,0,1,0,1
Cluster1395,0,0,0,1,0,1
Cluster1396,0,0,0,1,0,1
Cluster1397,1,0,0,0,0,1
Cluster1398,1,0,0,0,0,1
Cluster1399,1,0,0,0,0,1
Cluster14,0,1,0,2,0,2
Cluster140,1,1,1,1,0,4
Cluster1400,1,0,0,0,0,1
Cluster1401,1,0,0,0,0,1
Cluster1402,1,0,0,0,0,1
Cluster1403,1,0,0,0,0,1
Cluster1404,1,0,0,0,0,1
Cluster1405,1,0,0,0,0,1
Cluster1406,0,1,0,0,0,1
Cluster1407,1,1,1,1,0,4
Cluster1408,0,1,0,0,0,1
Cluster1409,0,0,0,1,0,1
Cluster141,1,0,0,0,0,1
Cluster1410,1,1,1,1,0,4
Cluster1411,0,0,0,1,0,1
Cluster1412,0,0,0,1,0,1
Cluster1413,0,0,0,1,0,1
Cluster1414,0,0,0,1,0,1
Cluster1415,0,1,0,0,0,1
Cluster1416,0,1,0,1,0,2
Cluster1417,0,0,1,0,0,1
Cluster1418,0,1,0,0,0,1
Cluster1419,1,1,1,1,0,4
Cluster142,1,0,0,0,0,1
Cluster1420,0,0,1,1,1,3
Cluster1421,1,0,1,1,0,3
Cluster1422,0,1,1,0,1,3
Cluster1423,1,0,0,1,0,2
Cluster1424,0,0,1,0,0,1
Cluster1425,1,1,1,1,0,4
Cluster1426,1,1,0,1,0,3
Cluster1427,1,1,1,1,0,4
Cluster1428,1,1,1,1,0,4
Cluster1429,1,1,1,1,0,4
Cluster143,1,1,1,1,0,4
Cluster1430,1,0,1,1,0,3
Cluster1431,1,1,1,1,0,4
Cluster1432,1,1,1,1,0,4
Cluster1433,1,1,1,1,0,4
Cluster1434,2,1,1,2,0,4
Cluster1435,0,0,0,1,0,1
Cluster1436,0,0,0,0,1,1
Cluster1437,2,0,1,0,0,2
Cluster1438,1,1,1,1,0,4
Cluster1439,1,1,1,1,0,4
Cluster144,1,1,1,1,0,4
Cluster1440,1,0,1,1,0,3
Cluster1441,0,1,0,0,0,1
Cluster1442,0,0,1,1,0,2
Cluster1443,1,1,1,1,0,4
Cluster1444,1,2,2,2,0,4
Cluster1445,1,0,1,0,0,2
Cluster1446,1,2,1,1,0,4
Cluster1447,2,2,2,2,0,4
Cluster1448,0,1,1,1,0,3
Cluster1449,0,1,0,0,0,1
Cluster145,1,1,1,1,0,4
Cluster1450,1,0,0,0,0,1
Cluster1451,0,0,0,1,0,1
Cluster1452,0,0,1,0,0,1
Cluster1453,0,1,0,0,0,1
Cluster1454,1,0,0,0,0,1
Cluster1455,0,1,1,1,0,3
Cluster1456,0,1,0,0,0,1
Cluster1457,1,0,0,0,0,1
Cluster1458,1,0,0,0,0,1
Cluster1459,1,0,1,0,0,2
Cluster146,0,0,1,0,0,1
Cluster1460,1,0,0,0,0,1
Cluster1461,1,0,1,0,0,2
Cluster1462,0,0,0,1,0,1
Cluster1463,1,0,1,1,0,3
Cluster1464,0,0,0,1,0,1
Cluster1465,1,1,1,1,0,4
Cluster1466,1,1,0,1,0,3
Cluster1467,1,1,1,1,0,4
Cluster1468,1,1,1,1,0,4
Cluster1469,1,1,1,1,0,4
Cluster147,0,0,0,1,0,1
Cluster1470,0,0,0,1,0,1
Cluster1471,1,1,0,1,0,3
Cluster1472,1,1,1,1,0,4
Cluster1473,1,1,1,1,0,4
Cluster1474,0,1,0,0,0,1
Cluster1475,0,0,0,1,0,1
Cluster1476,1,1,1,1,0,4
